name,lat,lon,blk
Big Broadhurst Reef,-18.927143861750622, 147.75304107425404,''
Little Broadhurst Reef,-18.96742841605337, 147.6992559441741,''
Davies Reef,-18.819650098452914, 147.63963010020717,''
Centipede Reef,-18.723907249374275, 147.5370984386536,''
Lynchs Reef,-18.76040276963985, 147.6992072979772,''
Chicken Reef,-18.64103898354093, 147.71694750884618,''
Grub Reef,-18.624808289296972, 147.42943368287595,''
Cowboys Reef,-18.58364494171892, 147.8325647707789,''
Old Reef,-19.378667910399923, 148.08984032167112,''
Stanley Reef,-19.298237017461343, 148.08342438944476,''
Darley Reef,-19.210842537096692, 148.1732474406143,''
Dingo Reef,-19.133793033473193, 148.39413882155162,''



